,0
0,POINT ( 34.939076650000004 69.27647271784608 )
1,POINT ( 34.625738999999996 -118.08263944221727 )
2,POINT ( 42.291121849999996 24.71485278861882 )
3,POINT ( 49.97958235 6.699620709879576 )
4,POINT ( 76.52994655 -68.7145635800423 )
5,POINT ( 26.3555999 127.7675 )
6,POINT ( 40.70795335 141.3624150932239 )
7,POINT ( 35.7490925 139.3490931 )
8,POINT ( 25.1173171 51.322183641774714 )
9,POINT ( 18.288574349999998 42.81025112932727 )
10,POINT ( 24.066252 47.582388161317276 )
11,POINT ( 37.0838419 127.02653817056847 )
12,POINT ( 37.167743599999994 -5.603696193600097 )
13,POINT ( 37.0060338 35.420902970986 )
14,POINT ( 38.3233111 27.1629136 )
15,POINT ( 40.265948 -120.15768209345703 )
16,POINT ( 35.277832149999995 -116.63095274331613 )
17,POINT ( 31.84884055 -106.38261387551495 )
18,POINT ( 19.75962635 -155.5524876465673 )
19,POINT ( 8.7206583 167.7315599 )
20,POINT ( 38.67735545 -104.75574278924569 )
21,POINT ( 31.277924 -85.71256592317262 )
22,POINT ( 29.953090449999998 -81.97956739130892 )
23,POINT ( 36.673145500000004 -87.49757002964915 )
24,POINT ( 38.7145694 -77.1810423 )
25,POINT ( 39.4455416 -79.6724323 )
26,POINT ( 37.134171 -76.60643544704703 )
27,POINT ( 46.6245074 -112.1106011 )
28,POINT ( 37.9068 -85.9723 )
29,POINT ( 47.0791222 -122.581428 )
30,POINT ( 44.6803 -84.7288 )
31,POINT ( 34.6489333 -98.4012874 )
32,POINT ( 31.13907725 -97.71275098154152 )
33,POINT ( 32.009377400000005 -81.15073343830846 )
34,POINT ( 64.8363889 -147.616666 )
35,POINT ( 32.8562592 -114.39084299704555 )
36,POINT ( 32.3368107 -84.989573 )
37,POINT ( 39.0541154 -96.7640658 )
38,POINT ( 40.1994183 -112.937017 )
39,POINT ( 40.4352565 -76.5697189 )
40,POINT ( 38.874894999999995 -77.05668567362386 )
41,POINT ( 27.98603765 -82.01479214409986 )
42,POINT ( 34.679128899999995 -86.6849975543544 )
43,POINT ( 31.0677835 -97.83186644916418 )
44,POINT ( 39.3666753 -94.91341025359361 )
45,POINT ( 33.8118911 -106.64179940199983 )
46,POINT ( 21.472893 -158.03586762280318 )
47,POINT ( 44.0545394 -75.7175547 )
48,POINT ( 31.885043 -81.5616142 )
49,POINT ( 50.9155262 5.782864538277512 )
50,POINT ( 49.8536681 8.587823897660279 )
51,POINT ( 40.3214821 -97.4472283 )
