airfield_name,coord
Bagram Air Base,
United States Air Force Plant 42,
Bezmer Air Base,
Graf Ignatievo Air Base,
Spangdahlem Air Base,
Thule Air Base,
Kadena Air Base,
Misawa Air Base,
Yokota Air Base,
Yontan Airfield,
Ali Al Salem Airbase,
Al Udeid Air Base,
King Khalid Air Base,
Riyadh Air Base,
Osan Air Base,
Morón Air Base,
Incirlik Air Base,
Gaziemir Air Base,
A.P. Hill Army Airfield,
Allen Army Airfield,
Amedee Army Airfield,
Bicycle Lake Army Airfield,
Biggs Army Airfield,
Blackstone Army Airfield,
Bradshaw Army Airfield,
Bryant Army Heliport,
Bucholz Army Airfield,
Butts Army Airfield,
Cairns Army Airfield,
Camp Blanding Army Airfield,
Campbell Army Airfield,
Davison Army Airfield,
Dawson Army Airfield,
Dillingham Army Airfield,
Dyess Army Airfield,
Felker Army Airfield,
Forney Army Airfield,
Fort Harrison Army Airfield,
Godman Army Airfield,
Gray Army Airfield,
Grayling Army Airfield,
Hagler Army Airfield,
Henry Post Army Airfield,
Hood Army Airfield,
Hunter Army Airfield,
Ladd Army Airfield,
Laguna Army Airfield,
Lawson Army Airfield,
Libby Army Airfield,
Los Alamitos Army Airfield,
Mackall Army Airfield,
Marshall Army Airfield,
Michael Army Airfield,
Muir Army Airfield,
Pentagon Army Heliport,
Phillips Army Airfield,
Polk Army Airfield,
Ray S. Miller Army Airfield,
Redstone Army Airfield,
Robert Gray Army Airfield,
Robinson Army Airfield,
Sabre Army Airfield,
Sherman Army Airfield,
Simmons Army Airfield,
Stallion Army Airfield,
Vagabond Army Airfield,
Wheeler Army Airfield,
Wheeler-Sack Army Airfield,
Wright Army Airfield,
Armstrong Army Airfield,
Bad Kreuznach Army Airfield,
Bad Hersfeld Airfield,
Bad Toelz Army Airfield,
Bamberg Army Airfield,
Beek Airport,
Coleman Army Airfield,
Giebelstadt Army Airfield,
Griesheim Airport,
Hanau Army Airfield,
Haunstetten Airfield,
Heidelberg Airfield,
Hoppstädten Army Airfield,
Karlsruhe Airfield,
Ludwigsburg Army Airfield,
Maurice Rose Army Airfield,
Mutlangen Army Airfield,
Schleissheim Army Airfield,
Tempelhof Central Airport,
Wildflecken Army Airfield,
Würzburg Army Airfield,
Bruning Army Air Field,
Condron Army Airfield,
Courtland Army Airfield,
Dodd Army Airfield,
Dodge City Army Air Field,
Gardner Army Airfield,
George Field,
Harris Neck Army Air Field,
Hobbs Army Airfield,
Lemoore Army Air Field,
Lowry Army Airfield,
Marfa Army Airfield,
McCook Army Air Field,
Moore Army Airfield,
Miller Field,
Muskogee Army Airfield,
Ross Army Airfield,
Travis Field,
Waco Army Airfield,
Walnut Ridge Army Air Field,
Blytheville Army Air Field,
Newport Army Air Field,
Stuttgart Army Air Field,
Adams Field,
Desiderio Army Airfield,
Grafenwöhr Army Airfield,
Hohenfels Army Airfield,
Stuttgart Army Airfield,
Wiesbaden Army Airfield,
RAF Barkston Heath,
RAF Barnham,
RAF Benson,
RAF Boulmer,
RAF Brize Norton,
RAF Coningsby,
RAF Cosford,
RAF Cranwell,
RAF Digby,
RAF Donna Nook,
RAF Fylingdales,
RAF Halton,
RAF Henlow,
RAF High Wycombe,
RAF Holbeach,
RAF Honington,
RAF Kirton in Lindsey,
RAF Leconfield,
RAF Leeming,
RAF Leuchars,
RAF Linton-on-Ouse,
RAF Lossiemouth,
RAF Marham,
RAF Mona,
RAF Neatishead,
RAF Northolt,
RAF Oakhanger,
RAF Odiham,
RAF Pembrey Sands,
RAF Prestwick,
RAF Scampton,
RAF Shawbury,
RAF Spadeadam,
RAF St. Mawgan,
RAF Stanbridge,
RAF Staxton Wold,
RAF Syerston,
RAF Tain,
RAF Topcliffe,
RAF Trimingham,
RAF Valley,
RAF Waddington,
RAF Wainfleet,
RAF Weston-on-the-Green,
RAF Wittering,
RAF Woodvale,
RAF Wyton,
Grissom Air Force Base,
Air Force Palmdale,
Dover Air Force base,
Eglin Air Force Base Airport,
Lackland Air Force Base,
Scott Air Force Base,
Sheppard Air Force Base,
Anqing North,30°35′00″N 117°03′00″E
Anshan,41°6′21″N 122°51′14″E
Bailian,24°12′28″N 109°23′29″E
Baishiyi,29°29′45″N 106°21′33″E
Baitabu,34°34′19″N 118°52′26″E
Beiling,41°52′13″N 123°26′22″E
Bengbu,32°50′52″N 117°19′13″E
Bikeqi,40°44′13″N 111°13′47″E
Cangxian,38°24′11″N 116°55′52″E
Changji,43°57′4″N 87°4′45″E
Changsha,28°4′9″N 112°57′27″E
Changxing,30°58′7″N 119°43′50″E
Chaoyangchuan,42°52′58″N 129°27′3″E
Chenggu,33°8′3″N 107°12′14″E
Chifeng,42°9′35″N 118°50′27″E
Dachang,31°19′25″N 121°24′38″E
Dafangshen,43°54′24″N 125°11′51″E
Daguozhang,34°13′46″N 117°14′46″E
Daishan,30°17′16″N 122°8′42″E
Dangyang,30°47′55″N 111°48′40″E
