,0
0,POINT ( 27.83535475 -0.19000633608251288 )
1,POINT ( 36.7013497 3.21090318335027 )
2,POINT ( 36.8304577 7.806549776641433 )
3,POINT ( 35.7528032 6.307746610613868 )
4,POINT ( 36.7295387 3.1929819 )
5,POINT ( 34.7931774 5.734029338102971 )
6,POINT ( 36.21306805 1.3306219157103958 )
7,POINT ( 36.27502905 6.622422421940669 )
8,POINT ( 31.6753963 6.141752805006766 )
9,POINT ( 36.7943535 5.875569778538126 )
10,POINT ( 35.6206678 -0.6154202368508483 )
11,POINT ( 36.18053795 5.325335614861902 )
12,POINT ( 22.813385099999998 5.451241709209654 )
13,POINT ( 35.0127915 -1.4558047297278263 )
14,POINT ( 30.9332681 29.697542043876126 )
15,POINT ( 31.185567149999997 29.947910493498107 )
16,POINT ( 23.96342585 32.82937355051733 )
17,POINT ( 30.1141148 31.424702260069452 )
18,POINT ( 31.0742836 33.829171518733695 )
19,POINT ( 27.1798365 33.79432766304178 )
20,POINT ( 25.6705395 32.70656738421505 )
21,POINT ( 25.5566869 34.586226362149766 )
22,POINT ( 31.3168929 27.2265777423804 )
23,POINT ( 28.6851638 34.062796563324206 )
24,POINT ( 27.9795626 34.392587649574324 )
25,POINT ( 26.3417454 31.731065840096637 )
26,POINT ( 29.595028749999997 34.784603579723935 )
27,POINT ( 32.1011324 20.27332790949631 )
28,POINT ( 43.7085218 -79.65116344247402 )
29,POINT ( 32.6682804 13.14624729995671 )
30,POINT ( 32.89529735 13.278556015653143 )
31,POINT ( 30.3284136 -9.409092283353985 )
32,POINT ( 33.3692757 -7.587027867584646 )
33,POINT ( 31.605871 -8.032465716209586 )
34,POINT ( 34.05106935 -6.743095876036195 )
35,POINT ( 35.72920725 -5.912942469695661 )
36,POINT ( 35.5940005 -5.323810548691451 )
37,POINT ( 23.724744049999998 -15.927466161127052 )
38,POINT ( 30.38186025 -9.549720490266727 )
39,POINT ( 15.587197549999999 32.55305972368279 )
40,POINT ( 33.874703600000004 10.77410237500926 )
41,POINT ( 36.07817805 10.435925349519707 )
42,POINT ( 35.75891045 10.751810560315683 )
43,POINT ( 34.71669585 10.688518522650334 )
44,POINT ( 36.9770903 8.880022080372964 )
45,POINT ( 33.93710375 8.098227764127163 )
46,POINT ( 36.851848450000006 10.229499453576416 )
47,POINT ( -3.32424825 29.320540457965556 )
48,POINT ( -11.53375855 43.27196873326025 )
49,POINT ( 11.54800385 43.15864050716333 )
50,POINT ( 15.293245200000001 38.91610962389453 )
51,POINT ( 8.97958075 38.79727968929066 )
52,POINT ( 9.625106200000001 41.85238477547875 )
53,POINT ( 0.4043631 35.23328885990355 )
54,POINT ( -4.0265226 39.600720714576624 )
55,POINT ( -0.08738835 34.72881993226213 )
56,POINT ( -1.3168547 36.92904912198662 )
57,POINT ( -18.7961372 47.47342862030034 )
58,POINT ( -12.346593299999999 49.28811328393599 )
59,POINT ( -15.6669088 46.350321848635154 )
60,POINT ( -13.3125742 48.314330613712386 )
61,POINT ( -18.10852705 49.392372747399406 )
62,POINT ( -25.04204875 46.95019958578181 )
63,POINT ( -20.287079 44.3168582 )
64,POINT ( -15.676075449999999 34.96706138417294 )
65,POINT ( -13.7886661 33.78211495665334 )
66,POINT ( -20.4325615 57.684949281775644 )
67,POINT ( -12.809017149999999 45.28166027969728 )
68,POINT ( -25.9063936 32.582643793413375 )
69,POINT ( -19.79742665 34.91058302709537 )
70,POINT ( -22.01664005 35.312615522016074 )
71,POINT ( -15.035866299999999 40.671658330315736 )
72,POINT ( -5.25760455 39.812129878249095 )
73,POINT ( -22.01664005 35.312615522016074 )
74,POINT ( -20.8901282 55.51860089723989 )
75,POINT ( -1.96827605 30.137584308337644 )
76,POINT ( -4.674262499999999 55.52120037637752 )
77,POINT ( 11.2778277 49.142991331751006 )
78,POINT ( 6.781775550000001 47.455134754841644 )
79,POINT ( 8.5373526 48.6792253 )
80,POINT ( 9.51805995 44.08387555 )
81,POINT ( -0.3767598 42.461044544048505 )
82,POINT ( 2.0140883 45.304041242825505 )
83,POINT ( 4.873847 31.598731911290322 )
84,POINT ( -3.36680455 36.625595016537524 )
85,POINT ( -6.8741937 39.20752396159325 )
86,POINT ( -3.4280793999999997 37.076288891574904 )
87,POINT ( -2.44583425 32.93340863939895 )
88,POINT ( -6.22659875 39.224891924186615 )
89,POINT ( 2.51399055 31.13397407355598 )
90,POINT ( 0.044802 32.4429895 )
91,POINT ( 2.81080155 32.26994056577095 )
92,POINT ( -17.81843635 25.79571488398148 )
93,POINT ( -15.3301972 28.453200826570317 )
94,POINT ( -12.964728950000001 28.515819874644443 )
95,POINT ( -17.9332616 31.090709006942333 )
96,POINT ( 26.1164628 -81.7033454 )
97,POINT ( -20.0133425 28.60861372510136 )
98,POINT ( -7.9589819 15.868577 )
99,POINT ( -14.925853400000001 13.578154582927786 )
100,POINT ( 4.01357 9.716386661669063 )
101,POINT ( 3.7250788 11.552168664779966 )
102,POINT ( 4.3959119 18.523283337103088 )
103,POINT ( 12.1360288 15.034851035991199 )
104,POINT ( -1.66486355 29.238111563658414 )
105,POINT ( 0.4827092 25.336486718843247 )
106,POINT ( -11.5907528 27.527636755291578 )
107,POINT ( -4.2509559 15.253938331362257 )
108,POINT ( 3.7565203499999997 8.707243565704104 )
109,POINT ( -1.65579695 13.438372041233038 )
110,POINT ( 0.46194650000000004 9.411292096346298 )
111,POINT ( -0.7143453 8.75312456524845 )
112,POINT ( 0.37739915 6.714885303492647 )
113,POINT ( 6.3577513 2.385905079697595 )
114,POINT ( -26.3586824 31.71598334780702 )
115,POINT ( -29.4562007 27.556295119714555 )
116,POINT ( -22.4822038 17.472054302453607 )
117,POINT ( -22.978472449999998 14.64617079718646 )
118,POINT ( -33.97184585 18.602112520148317 )
119,POINT ( -29.6099422 31.11688170804795 )
120,POINT ( -26.13601315 28.244977230368022 )
121,POINT ( -25.93444955 27.924736167011847 )
122,POINT ( -25.38178745 31.106954598075028 )
123,POINT ( -29.0922444 26.296681782348287 )
124,POINT ( -33.0360848 27.822560571881656 )
125,POINT ( -24.5533921 25.924967923222077 )
126,POINT ( -19.97141275 23.43219644534387 )
127,POINT ( -21.15918875 27.471582024432315 )
128,POINT ( -17.83045705 25.164367059707985 )
129,POINT ( 11.15630745 -4.336348331816797 )
130,POINT ( 16.138496500000002 -22.888953109204106 )
131,POINT ( 16.73879835 -22.951125574679647 )
132,POINT ( 14.9412846 -23.48478206133027 )
133,POINT ( 16.8345053 -25.055170870134756 )
134,POINT ( 5.264928299999999 -3.925957338659794 )
135,POINT ( 13.336338000000001 -16.6495025720344 )
136,POINT ( 5.60428935 -0.167967625794569 )
137,POINT ( 6.7150762 -1.5903265519696532 )
138,POINT ( 4.8966362 -1.7740750697405612 )
139,POINT ( 7.36107895 -2.3282951059579275 )
140,POINT ( 6.579488850000001 0.5312743409626528 )
141,POINT ( 10.08289355 -2.5078313317209595 )
142,POINT ( 9.556090900000001 -0.8637410296233512 )
143,POINT ( 9.576551250000001 -13.613075755188323 )
144,POINT ( 11.896212599999998 -15.652612037587073 )
145,POINT ( 11.3033822 -15.839109525429235 )
146,POINT ( 6.2311862 -10.364287159148873 )
147,POINT ( 12.5353304 -7.9487650400229874 )
148,POINT ( 18.3006384 -15.975031698772085 )
149,POINT ( 20.92992565 -17.029848793555274 )
150,POINT ( 13.4901663 2.184618025448069 )
151,POINT ( 9.00668065 7.265007350650086 )
152,POINT ( 4.979604500000001 8.349199913234665 )
153,POINT ( 6.20565465 6.663854565066257 )
154,POINT ( 12.0468517 8.521322889378638 )
155,POINT ( 5.01669605 6.9519059120197095 )
156,POINT ( 6.471979599999999 7.55671795401768 )
157,POINT ( 12.9176034 5.210945158782382 )
158,POINT ( -15.9586281 -5.646064223218827 )
159,POINT ( 14.6655114 -17.07343116560513 )
160,POINT ( 8.616696000000001 -13.198092117373065 )
161,POINT ( 6.17020235 1.2560093951906006 )
162,POINT ( 18.2054832 -63.05608188224072 )
163,POINT ( 17.13578595 -61.79381928408262 )
164,POINT ( 12.50213495 -70.01412635032392 )
165,POINT ( 25.03933675 -77.47012287193701 )
166,POINT ( 25.416515099999998 -77.87826580832996 )
167,POINT ( 23.5624053 -75.87650228984003 )
168,POINT ( 26.556512750000003 -78.6955864137168 )
169,POINT ( 24.889098699999998 -76.16887178643381 )
170,POINT ( 26.5113679 -77.08448974519862 )
171,POINT ( 13.077278799999998 -59.48794597973022 )
172,POINT ( 18.4457823 -64.53946733632488 )
173,POINT ( 17.496818849999997 -62.97907065409406 )
174,POINT ( 17.6452107 -63.22040067205849 )
175,POINT ( 19.68786885 -79.87717146587687 )
176,POINT ( 19.292621150000002 -81.35854363791051 )
177,POINT ( 21.42010595 -77.84963901393718 )
178,POINT ( 22.461469049999998 -78.33163052799658 )
179,POINT ( 22.14945185 -80.41432509221373 )
180,POINT ( 22.987384849999998 -82.41424753295806 )
181,POINT ( 22.86556495 -82.51626260663052 )
182,POINT ( 22.4906757 -79.9432643 )
183,POINT ( 19.9753964 -75.83547295807672 )
184,POINT ( 12.1890286 -68.96216089958281 )
185,POINT ( 15.546485449999999 -61.302080403796325 )
186,POINT ( 18.25182335 -71.12337032088251 )
187,POINT ( 18.45180335 -68.9133388590677 )
188,POINT ( 18.5697918 -68.36662616922789 )
189,POINT ( 19.75754625 -70.56892494780459 )
190,POINT ( 19.405476 -70.60372192260436 )
191,POINT ( 18.42929615 -69.6715123798729 )
192,POINT ( 12.0047984 -61.78567212577312 )
193,POINT ( 16.2658457 -61.528368796666484 )
194,POINT ( 19.7263503 -72.20026715140995 )
195,POINT ( 18.579012300000002 -72.29606501465122 )
196,POINT ( 17.93556065 -76.78098090118962 )
197,POINT ( 18.502925949999998 -77.91388740287721 )
198,POINT ( 14.5906832 -61.00559445393026 )
199,POINT ( 16.7914596 -62.19349168416694 )
200,POINT ( 18.49346055 -67.13421586611547 )
201,POINT ( 18.44319945 -65.99743036847468 )
202,POINT ( 59.3546192 17.944740459281977 )
203,POINT ( 17.3113064 -62.71800233941045 )
204,POINT ( 13.7342774 -60.95388420129784 )
205,POINT ( 13.1598438 -61.149752043329826 )
206,POINT ( 12.7006118 -61.34525879938224 )
207,POINT ( 60.32135905 24.947206800038444 )
208,POINT ( 18.04087385 -63.11185168371077 )
209,POINT ( 10.59734525 -61.339509684592386 )
210,POINT ( 11.15043845 -60.8375427625885 )
211,POINT ( 21.776401800000002 -72.27137188340734 )
212,POINT ( 18.33476905 -64.9724536459818 )
213,POINT ( 17.69997805 -64.8059208987329 )
214,POINT ( 17.5392339 -88.30483122697225 )
215,POINT ( 10.595176200000001 -85.53862961331669 )
216,POINT ( 9.993411550000001 -84.21152052685673 )
217,POINT ( 13.45092455 -89.05240507597625 )
218,POINT ( 16.91345405 -89.86205696657903 )
219,POINT ( 14.58331705 -90.52716040808703 )
220,POINT ( 16.3169504 -86.5248116875334 )
221,POINT ( 15.455729 -87.92745277049858 )
222,POINT ( 14.0603447 -87.21931915065048 )
223,POINT ( 12.141385 -86.16885964895833 )
224,POINT ( 11.9910456 -83.7736603803171 )
225,POINT ( 12.1733502 -83.05909221898577 )
226,POINT ( 9.3404871 -82.24451650409418 )
227,POINT ( 8.38965145 -82.43619357392953 )
228,POINT ( 9.0667814 -79.38148242739149 )
229,POINT ( 32.3616236 -64.66575513844553 )
230,POINT ( 49.0226288 -122.3795503 )
231,POINT ( 51.120751 -114.01057234296194 )
232,POINT ( 53.308730350000005 -113.58880235766183 )
233,POINT ( 45.87018365 -66.53510204365679 )
234,POINT ( 48.935634300000004 -54.57370404301988 )
235,POINT ( 44.8767923 -63.512633 )
236,POINT ( 43.170848750000005 -79.92753721554418 )
237,POINT ( 49.956703700000006 -119.37954941396475 )
238,POINT ( 43.03236375 -81.14876380261438 )
239,POINT ( 46.116166899999996 -64.68834331532241 )
240,POINT ( 45.46873715 -73.74257166095532 )
241,POINT ( 45.32203645 -75.66726438915012 )
242,POINT ( 46.792174849999995 -71.38577821056776 )
243,POINT ( 50.4309977 -104.66560618608906 )
244,POINT ( 52.172371999999996 -106.69161089220799 )
245,POINT ( 47.619738299999995 -52.74791992027517 )
246,POINT ( 48.37209765 -89.32725832169425 )
247,POINT ( 43.678523999999996 -79.62912913064454 )
248,POINT ( 49.193044 -123.17986424460963 )
249,POINT ( 48.6463019 -123.4217089740095 )
250,POINT ( 60.7143977 -135.0764753 )
251,POINT ( 41.9405835 -72.68501994264602 )
252,POINT ( 49.91046085 -97.2379281374448 )
253,POINT ( 60.32135905 24.947206800038444 )
254,POINT ( 67.01133010000001 -50.70745791678873 )
255,POINT ( 64.1927724 -51.67787294727114 )
256,POINT ( 69.24366964999999 -51.056119024204875 )
257,POINT ( 61.160465450000004 -45.42536298156452 )
258,POINT ( 16.756593600000002 -99.75293698229589 )
259,POINT ( 21.7008112 -102.31747865736617 )
260,POINT ( 21.0407394 -86.8818149087711 )
261,POINT ( 28.70242285 -105.95886315342986 )
262,POINT ( 18.6517384 -91.80046272071905 )
263,POINT ( 20.52296195 -86.92943828095508 )
264,POINT ( 24.76450365 -107.47833897947221 )
265,POINT ( 24.12694795 -104.52871221086414 )
266,POINT ( 31.2255586 -110.97528809434876 )
267,POINT ( 15.7759827 -96.25869871122916 )
268,POINT ( 17.6036076 -101.46199568977451 )
269,POINT ( 20.9934103 -101.48120076520438 )
270,POINT ( 25.98507355 -111.3497035096648 )
271,POINT ( 23.1451694 -109.71801287922258 )
272,POINT ( 19.1447539 -104.55803073181045 )
273,POINT ( 23.16484775 -106.26951604534133 )
274,POINT ( 20.9246449 -89.65927789055651 )
275,POINT ( 19.434325299999998 -99.07325169426676 )
276,POINT ( 25.869959799999997 -100.33936685347027 )
277,POINT ( 16.9994612 -96.72489779307939 )
278,POINT ( 19.15571005 -98.37283764210872 )
279,POINT ( 20.68132455 -105.24962241931068 )
280,POINT ( 20.6217277 -100.19650618446578 )
281,POINT ( 26.005776500000003 -98.2241938925834 )
282,POINT ( 40.1689707 -77.9925014 )
283,POINT ( 22.260231349999998 -100.93678970603378 )
284,POINT ( 22.29066925 -97.8640037411272 )
285,POINT ( 32.54236105 -116.97017165699292 )
286,POINT ( 19.33818275 -99.565340075988 )
287,POINT ( 25.5618755 -103.40669725858731 )
288,POINT ( 19.398555899999998 -102.0391356118781 )
289,POINT ( 8.91624255 -79.59839754368687 )
290,POINT ( 22.895494499999998 -102.68638719688414 )
291,POINT ( 46.762732150000005 -56.17769546311888 )
292,POINT ( 42.748015949999996 -73.79855563763934 )
293,POINT ( 35.037669449999996 -106.61096752176844 )
294,POINT ( 61.18103525 -149.99789189730433 )
295,POINT ( 44.25659495 -88.52169598755702 )
296,POINT ( 33.63779875 -84.42927118585675 )
297,POINT ( 39.45708535 -74.57027649092205 )
298,POINT ( 30.19348925 -97.66500963529677 )
299,POINT ( 39.1747196 -76.67075505810189 )
300,POINT ( 44.8072619 -68.81941486105113 )
301,POINT ( 48.79368955 -122.53595690761102 )
302,POINT ( 33.5635078 -86.75154126864663 )
303,POINT ( 43.55988165 -116.20782253098173 )
304,POINT ( 42.36317665 -71.01364006269452 )
305,POINT ( 42.9402016 -78.73075229745353 )
306,POINT ( 35.21074145 -80.9457435226013 )
307,POINT ( 32.89929845 -80.03946503050427 )
308,POINT ( 29.18075815 -81.06460406740783 )
309,POINT ( 41.97795725 -87.90917584851792 )
310,POINT ( 39.049907149999996 -84.66516172504984 )
311,POINT ( 41.406618550000005 -81.85120214358412 )
312,POINT ( 39.99705605 -82.89304061484347 )
313,POINT ( 39.8132172 -82.934199729754 )
314,POINT ( 32.89651945 -97.0465220537124 )
315,POINT ( 39.905318699999995 -84.22024542480268 )
316,POINT ( 39.8606676 -104.68536732610298 )
317,POINT ( 41.534549299999995 -93.65923944589736 )
318,POINT ( 42.205699100000004 -83.35297537621658 )
319,POINT ( 31.8092748 -106.36664263248113 )
320,POINT ( 64.81761 -147.86784231862563 )
321,POINT ( 26.072017000000002 -80.15099673135214 )
322,POINT ( 26.53294975 -81.75880562612211 )
323,POINT ( 36.776006 -119.71974456209355 )
324,POINT ( 42.876614700000005 -85.53488239724246 )
325,POINT ( 44.47848805 -88.14362007159838 )
326,POINT ( 36.1031477 -79.94356850477837 )
327,POINT ( 40.193209800000005 -76.75294587287746 )
328,POINT ( 41.9405835 -72.68501994264602 )
329,POINT ( 19.718830599999997 -155.04755391447696 )
330,POINT ( 21.32040435 -157.9173135198164 )
331,POINT ( 29.9841416 -95.33298595614491 )
332,POINT ( 29.64714905 -95.27692608634595 )
333,POINT ( 34.646546900000004 -86.77502325865353 )
334,POINT ( 39.7162533 -86.29508388539975 )
335,POINT ( 30.4947303 -81.6924513519536 )
336,POINT ( 58.3566191 -134.58019300175383 )
337,POINT ( 39.3023103 -94.72118991743454 )
338,POINT ( 55.353764749999996 -131.7083563288072 )
339,POINT ( 24.5554773 -81.75961603475078 )
340,POINT ( 35.809552999999994 -83.99884810431155 )
341,POINT ( 27.98603765 -82.01479214409986 )
342,POINT ( 42.778071249999996 -84.58586005736913 )
343,POINT ( 36.0861034 -115.16111989849915 )
344,POINT ( 39.4299546 -83.79196443345316 )
345,POINT ( 33.94216754999999 -118.42139298414197 )
346,POINT ( 38.1866987 -85.7414172 )
347,POINT ( 28.1027201 -80.64815801235798 )
348,POINT ( 35.04625645 -89.97689466513185 )
349,POINT ( 25.7949789 -80.28672341095405 )
350,POINT ( 31.946026099999997 -102.21061868215736 )
351,POINT ( 42.946542300000004 -87.89725778714413 )
352,POINT ( 44.878019050000006 -93.2209280537696 )
353,POINT ( 33.680640600000004 -78.92905970872894 )
354,POINT ( 36.11958985 -86.68308703291842 )
355,POINT ( 29.99420015 -90.26430439366972 )
356,POINT ( 40.642947899999996 -73.7793733748521 )
357,POINT ( 40.7757145 -73.87336398511545 )
358,POINT ( 40.68906405 -74.17725485035348 )
359,POINT ( 41.5020532 -74.12120288016584 )
360,POINT ( 36.8946697 -76.20229629965002 )
361,POINT ( 37.7221623 -122.21707443336842 )
362,POINT ( 35.3848053 -97.60534425082406 )
363,POINT ( 41.3011252 -95.88987091468039 )
364,POINT ( 34.05414245 -117.59915769373036 )
365,POINT ( 33.67420559999999 -117.86801480770461 )
366,POINT ( 28.412903550000003 -81.30944309752753 )
367,POINT ( 28.7754331 -81.24329602986423 )
368,POINT ( 33.83033915 -116.50964534531111 )
369,POINT ( 30.360829199999998 -85.79665441896672 )
370,POINT ( 30.4725975 -87.18808592919096 )
371,POINT ( 39.875018 -75.23521278969667 )
372,POINT ( 33.43289075 -112.00942230268426 )
373,POINT ( 33.30591455 -111.6526441150196 )
374,POINT ( 40.49178275 -80.23702448873742 )
375,POINT ( 43.6461776 -70.31441197345607 )
376,POINT ( 45.587132600000004 -122.59277984939183 )
377,POINT ( 41.72243995 -71.42858821974949 )
378,POINT ( 42.76181125 -87.81589545554539 )
379,POINT ( 35.880361449999995 -78.78723821716514 )
380,POINT ( 39.498646199999996 -119.7733318653608 )
381,POINT ( 37.5069667 -77.32148389043365 )
382,POINT ( 43.904309749999996 -92.49544412529157 )
383,POINT ( 43.1161699 -77.67269338979611 )
384,POINT ( 42.1966203 -89.10185948684004 )
385,POINT ( 38.687223450000005 -121.5903702806319 )
386,POINT ( 40.790066100000004 -111.97989846185591 )
